anonymous_user_id,role_category_x,device_type_x,auth_method,location_type,campus_zone,network_type,service_accessed,success,failure_reason,session_duration,academic_period_x,client_browser,client_os,role_category_y,device_type_y,academic_period_y,avg_key_dwell_time,avg_digraph_time,keystroke_rhythm_variance,typing_speed,pause_frequency,flight_time_consistency,avg_movement_speed,avg_click_duration,direction_change_frequency,curvature_metric
user_303e53fc20b0,undergraduate,desktop,0,1,1,0,0,True,,28,exam,0,1,graduate,tablet,exam,119.06,166.35,46.34,55.27,0.218,0.818,411.4,156.89,0.349,0.292
user_2d54c67a68ec,admin,mobile,3,1,2,0,1,True,,88,holiday,1,2,admin,mobile,holiday,81.52,216.19,22.74,43.41,0.189,0.915,366.83,155.7,0.395,0.405
user_db82ea2b078e,faculty,desktop,1,0,2,0,0,True,,80,regular_term,1,2,graduate,tablet,regular_term,100.88,201.73,53.31,72.33,0.081,0.786,350.17,151.79,0.138,0.454
user_586de42077c5,graduate,tablet,1,0,4,2,1,True,,22,holiday,2,1,faculty,laptop,holiday,85.66,239.01,29.57,50.5,0.196,0.845,330.42,119.57,0.137,0.55
user_2fe443cabe6b,faculty,mobile,1,0,2,0,0,False,,33,regular_term,2,2,admin,laptop,regular_term,106.88,248.79,23.89,72.15,0.28,0.884,380.37,140.42,0.285,0.312
user_7d2ad349e542,research,laptop,3,1,1,1,2,True,,70,regular_term,2,1,undergraduate,desktop,regular_term,88.1,175.09,21.58,59.3,0.203,0.877,568.75,103.56,0.107,0.457
user_a6ad53911fc0,undergraduate,mobile,1,1,1,1,3,True,,86,exam,1,1,admin,desktop,exam,88.23,172.95,51.58,80.24,0.199,0.818,344.73,174.95,0.121,0.354
user_a7209194b19d,faculty,tablet,3,0,1,0,2,True,,69,holiday,2,1,undergraduate,mobile,holiday,112.55,193.69,44.94,88.29,0.075,0.851,561.75,164.6,0.395,0.289
user_0f99fabbb1ef,undergraduate,tablet,2,0,2,2,1,True,,76,exam,0,2,research,laptop,exam,111.99,242.35,48.51,56.86,0.295,0.918,369.86,168.44,0.148,0.284
user_2fe1ca4d3baf,admin,mobile,1,0,2,2,2,True,,82,exam,0,1,research,desktop,exam,103.1,156.79,32.58,76.08,0.151,0.81,479.37,161.1,0.145,0.568
user_291d68154500,faculty,tablet,1,0,3,1,0,False,,26,exam,2,0,admin,tablet,exam,81.37,220.67,25.7,49.37,0.284,0.95,548.43,119.75,0.216,0.399
user_741d5e3435c1,graduate,laptop,0,0,2,0,1,True,,55,regular_term,2,2,faculty,laptop,regular_term,91.49,214.27,38.47,88.6,0.191,0.745,544.63,107.23,0.183,0.313
user_598fb2af8c8d,research,mobile,2,0,4,0,0,True,,24,regular_term,1,1,research,laptop,regular_term,119.6,180.15,40.52,75.88,0.181,0.842,504.5,158.93,0.374,0.278
user_cc18c1db2445,graduate,mobile,1,1,0,1,2,True,,76,holiday,2,0,faculty,tablet,holiday,105.38,198.33,24.59,70.85,0.281,0.843,396.3,151.64,0.112,0.507
user_34232a448d91,admin,laptop,2,0,4,0,1,True,,100,holiday,2,0,graduate,laptop,holiday,95.49,192.81,48.98,57.64,0.239,0.823,591.85,159.81,0.317,0.214
user_29a8341ec09b,faculty,desktop,1,1,1,1,0,True,,101,regular_term,1,2,graduate,desktop,regular_term,114.97,204.98,43.46,66.82,0.1,0.789,583.63,178.57,0.23,0.475
user_916d0f92000b,faculty,mobile,0,1,0,2,2,True,,9,holiday,1,1,undergraduate,mobile,holiday,80.46,168.19,48.42,82.13,0.293,0.752,363.61,177.45,0.315,0.359
user_9648f4765983,undergraduate,laptop,2,1,3,0,3,True,,39,exam,0,1,graduate,laptop,exam,103.01,221.84,52.8,77.32,0.06,0.71,338.11,161.01,0.101,0.585
user_2bb68381f821,research,mobile,0,0,0,2,2,True,,25,holiday,2,0,undergraduate,mobile,holiday,97.35,224.08,48.85,71.5,0.096,0.843,386.22,168.12,0.206,0.561
user_a23d9dfd51db,research,tablet,2,1,2,1,0,True,,32,exam,2,0,graduate,desktop,exam,87.92,249.73,25.37,79.02,0.209,0.845,310.42,107.41,0.117,0.203
